,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price,Ecology_22,Ecology_33,Shops_22
0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
1,15053,41,3.0,65.68363987232783,40.04954252356546,8.0,7,9.0,1978,6.99893e-05,46,1,240.0,1,16,B,300009.4500627274,0,0,0
2,4765,53,2.0,44.947952764125006,29.1976116880482,0.0,8,12.0,1968,0.049637257,34,0,229.0,1,3,B,220925.90852358093,0,0,0
3,5809,58,2.0,53.352981355613345,52.73151204863503,9.0,8,17.0,1977,0.43788524,23,3,1084.0,0,5,B,175616.22721724625,0,0,0
4,10783,99,1.0,39.649191950029994,23.7761691108976,7.0,11,12.0,1976,0.012338886,35,1,2078.0,2,4,B,150226.5316437466,0,0,0
5,12915,59,3.0,80.38447920267191,46.68372012823429,12.0,5,17.0,2011,0.309479124,35,4,990.0,0,6,B,215898.44774214894,0,0,0
6,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
7,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
8,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
9,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
10,15370,28,2.0,46.30490677332586,27.922584447134266,6.0,8,9.0,1973,0.118537385,30,1,1183.0,1,0,B,204243.55312879704,0,0,0
11,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
12,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
13,2408,57,3.0,68.10273923286483,39.3114930561345,8.0,6,12.0,1980,0.13321533300000002,49,3,1406.0,3,4,A,252481.9083226248,0,0,1
14,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
